date,tier,cumulative_return
2013-10-07,Moderate,0.27916605127486904
2013-10-08,Moderate,0.26313255467507957
2013-10-09,Moderate,0.25779150288094677
2013-10-10,Moderate,0.2956490651257857
2013-10-11,Moderate,0.30285851449664847
2013-10-14,Moderate,0.3115381628485736
2013-10-15,Moderate,0.29726935495202134
2013-10-16,Moderate,0.31528736250292755
2013-10-17,Moderate,0.30564603765120313
2013-10-18,Moderate,0.30465364779830306
2013-10-21,Moderate,0.29862163828910404
2013-10-22,Moderate,0.30914042748926196
2013-10-23,Moderate,0.31625919669420677
2013-10-24,Moderate,0.32023193116616544
2013-10-25,Moderate,0.34267263674004655
2013-10-28,Moderate,0.33644531579056625
2013-10-29,Moderate,0.3489519375059271
2013-10-30,Moderate,0.34404091213717014
2013-10-31,Moderate,0.34921936225990535
2013-11-01,Moderate,0.3582049720627958
2013-11-04,Moderate,0.36261830253615135
2013-11-05,Moderate,0.3625500496764922
2013-11-06,Moderate,0.37454494542766437
2013-11-07,Moderate,0.35263756481368924
2013-11-08,Moderate,0.3722188873763126
2013-11-11,Moderate,0.3756969797792109
2013-11-12,Moderate,0.3712424978315385
2013-11-13,Moderate,0.3882923032641339
2013-11-14,Moderate,0.39948568818780106
2013-11-15,Moderate,0.4042639132156858
2013-11-18,Moderate,0.40487332003723364
2013-11-19,Moderate,0.3965904099154445
2013-11-20,Moderate,0.38626871445925537
2013-11-21,Moderate,0.39788731144068556
2013-11-22,Moderate,0.41318776677925495
2013-11-25,Moderate,0.41158253272865686
2013-11-26,Moderate,0.41770745503064055
2013-11-27,Moderate,0.41986620208918457
2013-11-29,Moderate,0.42273021459165716
2013-12-02,Moderate,0.41508018124051715
2013-12-03,Moderate,0.40219580111649744
2013-12-04,Moderate,0.3983878189159178
2013-12-05,Moderate,0.39060398871036384
2013-12-06,Moderate,0.4082233102455628
2013-12-09,Moderate,0.4054338181428274
2013-12-10,Moderate,0.40323096135589975
2013-12-11,Moderate,0.3851300485369782
2013-12-12,Moderate,0.37408971227321586
2013-12-13,Moderate,0.39883417562775847
2013-12-16,Moderate,0.4003922794861716
2013-12-17,Moderate,0.39842204814460125
2013-12-18,Moderate,0.41991134921371276
2013-12-19,Moderate,0.41519258089830524
2013-12-20,Moderate,0.43316723796946555
2013-12-23,Moderate,0.4382886455027839
2013-12-24,Moderate,0.4382588059598027
2013-12-26,Moderate,0.4500229628953558
2013-12-27,Moderate,0.44389781487421254
2013-12-30,Moderate,0.4405320372463466
2013-12-31,Moderate,0.44870978390998073
2014-01-02,Moderate,0.4396496251938691
2014-01-03,Moderate,0.44385309660619576
2014-01-06,Moderate,0.4344648509680722
2014-01-07,Moderate,0.4585863544456641
2014-01-08,Moderate,0.4533052150724559
2014-01-09,Moderate,0.4582405958788929
2014-01-10,Moderate,0.4527427472081338
2014-01-13,Moderate,0.4348957624329146
2014-01-14,Moderate,0.44583591085041485
2014-01-15,Moderate,0.45842063441917746
2014-01-16,Moderate,0.4471281803577558
2014-01-17,Moderate,0.443845605819694
2014-01-21,Moderate,0.4520606336249524
2014-01-22,Moderate,0.4611082431711202
2014-01-23,Moderate,0.4466577506399463
2014-01-24,Moderate,0.41175778672107777
